css-1m051bw,css-qgunke,css-1fnccdf,css-1fnccdf 2,css-chan6m,raw__09f24__T4Ezm,css-1fnccdf 3,css-1lr1m88,css-1lr1m88 2,,,,,,,
Amos C.,"Clermont, FL",72,1,7/19/2016,"Recently found myself in this Urgent care and was surprised at how fast I was helped. The staff was very informative and helpful when it came to explaining how my insurance works. The doctor that helped me talked to me and not at me and made me feel like I was a patient and not like cattle. He also made extra sure I knew when to take the meds he prescribed me before I left. They also called the next day to check up on me, which I didn't expect. I would definitely go back if I found myself sick again.",,1,,,,,,,,
Julian C.,"Beverly Hills, CA",3,20,5/30/2018,"They really took care of me.  Was passing out and dizzy and they saw me within 5 minutes.  My friend forgot her phone and they tracked us down to  let us know even though the place was an hour past closing time. Thank you Celia, Anh, Carina, and Jordan.  Thank you Dr Peter Chung for taking the time to thoughtfully work through things.  Felt so much better after.",3,1,,,,,,,,
Mac C.,"Los Angeles, CA",0,12,7/29/2016,"With no other option than the ER on a Sunday, I decided to try Downtown Urgent Care based on reviews here. We didn't know what to expect since we'd never been to urgent care. Parking is a breeze. Office is relaxing, modern and clean. The friendly and caring staff greet you immediately upon arrival. Wait time including check in and insurance verification was less than 5 minutes. I was seen by Dr. Peter Chung. He was exceptional in every way. Highly knowledgeable and well-informed about my condition, he was able to help me enormously. Plus, he has the best bedside manner I've ever experienced. I never felt rushed and he answered all my questions with helpful input and solutions. Highly Recommend!",,1,,,,,,,,
Jane D.,"Carlsbad, CA",0,26,12/11/2017,"We are new to Los Angeles, so when I got sick, I did not have a primary care doctor to go to. I looked up urgent care on Yelp and found this location. After reading the reviews, I decided it was worth a try.Downtown Urgent Care is wonderful. Parking is easy. The front desk staff and the medical assistants were all incredibly friendly and attentive. Within 15 minutes of walking through the front door, I was seen by Dr. Ladouceur. He was FANTASTIC. He carefully listened to all my concerns. He did a thorough examination and explained what was going on. He took time to make sure I had all my questions answered. It was so far and beyond what I could have hoped for! I highly recommend Downtown Urgent Care.",,2,1,,,,,,,
Jacky G.,"Los Angeles, CA",0,1,11/23/2019,It was my first time going to any urgent care and I'm glad I came to this one. The wait was not bad and Dr. Chung was really nice and very professional. I will definitely be coming back to this urgent care for future visit from my pcp,,,,,,,,,,
Anai S.,"Westlake, Los Angeles, CA",0,14,11/20/2018,"OMG have i found the best urgent care ever. My mom, Evelina, took me to Downtown LA urgent care for the first time due to extreme abdominal pain, when i arrived i was met by sweet Roxana that greeted me with a smile. In less than 2 minutes i was taken to a room to get my vitals done by a friendly MA (sorry i don't remember your name). It didn't take long for Dr. Chung to come in, he was amazing, he was all ears about my complaint, he went above and beyond to give me printed information related to my diagnosis, he explained everything that i needed to know. He was as friendly as can be. Armando was also gentle giving me my glut shot and drawing my blood. I wish Dr. Chung could be my primary care physician, i highly recommend this urgent care. THANK YOU STAFF AND DR.CHUNG!!!",1,,,,,,,,,
Yunong H.,"Franklin, MA",9,8,11/29/2017,"I have been so taken care of at this clinic. Yesterday I lung felt so bad so I decided to go to a clinic to take a look. And my paranoid scared myself to death. Dr. Chung is super nice and explain my condition to me. I'm a foreigner and don't speak very good English, but all the staffs are very patient to me. I want to thank Dr. Chung again for well taken care of me!",2,2,,,,,,,,
Rudy C.,"Los Angeles, CA",166,204,7/9/2017,I haven't been feeling 100% the last few days and today I woke up not being able to talk at all. I work close to this urgent care and it was worth the visit this morning. The office staff and doctor are all great! They were very welcoming. I waited less than ten minutes to see the doctor. The doctor was incredibly personable. The best part was not having to go to a pharmacy to get a prescription. They have their own pharmacy on-site I assume since they gave me antibiotics on the spot which was so convenient. I was in and out in less than 45 minutes--that's what I call URGENT! Thanks to the entire staff for a great experience and for nursing me back to health!,41,4,1,,,,,,,
Drizlo D.,"Newport Beach, CA",1,45,1/28/2018,"Dr chung was great. Came here without health insurance and was $99 without procedures. Very clean facility and left the appointment feeling very satisfied with the doctors knowledge, and treatment plan. Would definitely come back here!",14,1,,,,,,,,
Ashley S.,"Glendale, CA",0,12,9/12/2018,"Love this place!! I walked in after work and was in a room before I could even finish my paperwork! The clinic is modern and clean. Dr. Chung is kind and knowledgeable, and the staff is delightful. Come here with your urgent care needs, and you won't regret it!",,,,,,,,,,
thomas l.,"Los Angeles, CA",387,38,1/7/2016,"As good as it gets for sure! Free parking (which is unheard of in downtown) and no wait! Service by Felix at the front desk to April the medical assistant, to the doctor were all 5 stars! For parking, enter on San Pedro and just before 3rd street on the right. *267 and the attendant will let you in and direct you where to park. simple and easy. Lastly, free water and gift bag (reusable bag and lunch bag ftw).",3,1,,,,,,,,
Phil R.,"Murrieta, CA",1,56,1/20/2018,"This place is just great! First of all they have on site parking which is HUGE in downtown! The staff was all very friendly and professional. It was my first time there and everything was done so smoothly. I was helped in no time at all and didn't have to wait at all even though I came into the center around 11. I was helped by the doctor quickly and told me everything I needed and approximately how long it would take. He was very courteous of my time and wanted to make sure I wasn't stuck there for longer than I needed to. The following day, the center even took the extra step and called me to follow up to see how I was doing! Overall the center was quite a pleasant experience and I will definitely be coming here in the near future and would recommend it to everyone in the downtown LA area.",18,1,,,,,,,,
Anderson W.,"San Jose, CA",229,9,7/25/2017,"I broke out in hives after something I ate and the staff took care of me immediately. Thete was no wait and parking in the front. They had a sense of urgency and honestly, was more concerned than I was. I have never been allergic to any type of food or had hives this bad but the reassured me by reviewing the options to help me. Dr. Emily did called me the next day, even though I didn't ask, just to see how I was doing. Thanks for help and being so close to me in the Arts District!",,3,,,,,,,,
Ian A.,"Philadelphia, PA",80,12,10/20/2017,"If you need to go to an ER, go here-- I've been here a bunch of times, for myself and students, and never had a bad experience.  The office and clinical staff are friendly, helpful and attentive to patients' needs, and the doctors are knowledgeable with great bedside manner.One touch that I found particularly good: I was there on Monday morning.  Because of a mixup, there was no MD on duty-- but instead of just keeping me waiting in the exam room, they told me that I'd have a 40-minute wait, so I was able to go out for a coffee and come back half an hour later, at which point I was seen almost immediately.Really excellent.And, on top of everything else... free parking!",,2,,,,,,,,
Mikael M.,"Los Angeles, CA",18,5,2/1/2018,"Come here. Best urgent care experience I've ever had. Very friendly and knowledgeable staff all around. Dr. Chung is great. And everything moves fast here, there's no waiting around. Just awesome.",,1,,,,,,,,
Corey C.,"Los Angeles, CA",173,22,6/6/2018,"Great spot! Went in to treat a sore throat and was greeted and treated well by staff. Doc was was very knowledgeable, fast and polite. Got me in and out with meds that I could purchase at the office. Felt better within hours of leaving. They didn't even charge me for a swab of my throat because the Doc already knew what was happening from first glance. Highly recommend this place if you live in the Downtown area.",10,,,,,,,,,
Genevieve D.,"Los Angeles, CA",232,11,12/18/2017,"Went in this morning for an x-ray. In and out in about an hour. Easy process, friendly staff and doctors.",,1,,,,,,,,
Alex S.,"Los Angeles, CA",126,6,12/14/2017,"I can't wait to go back (is that a weird thing to say?)! I have been to several urgent care centers over the years and this far surpasses all of them. It may be the best medical experience I may have had. And, honestly, I am having a hard time recalling any kind of experience with this quality of customer service. There was no wait, the intake process was seamless, the space was clean and comfortable, and I got the help I needed. Dr. Chung and his staff were wonderful. Five stars all day! Now, if only it was open 24 hrs (hint, hint....)",,1,,,,,,,,
Alice B.,"Pflugerville, TX",175,7,5/5/2018,I went to DT Urgent Care earlier this week after not being able to kick a cold I'd had for going on a week.  Super clean office + free parking + friendly staff - can't ask for much more! They got me in really quick and I was able to get my prescriptions from the office then and there.  Great experience and will definitely return (hopefully not too soon!).,,1,,,,,,,,
Sandor O.,"Rancho Palos Verdes, CA",0,34,2/16/2018,"I had a very bad experience with another urgent care so I had to find another one fast. That other one called be back for a check up, but when I went they sent me away, so I had to go to another urgent care. It was related to an allergic reaction so it was urgent That's how I ended up here.With me they were courteous and polite. They gave me shots and prescribed medicine. They even called the other place to find you why they called me but then sent me away. I had a nice experience.",5,1,,,,,,,,
Hershy G.,"Midwood, Brooklyn, NY",0,10,2/12/2018,Downtown urgent care is defiantly the place to go. The Dr and staff we're truest amazing.,1,1,,,,,,,,
T. S.,"Central LA, Los Angeles, CA",0,11,9/19/2019,"This place is incredible! It had the best staff, attentive, caring, and confidential! DR. Chung is AMAZING, fast, efficient, and caring. I came in 30 minutes to closing they happily took me in, I was seen within minutes. I ended up needing to go to the ER, Dr. Chung not only wrote me a note but called ahead so that I would be a priority at the ER, such a big difference in my experience! Who would have thought that ruptured ovarian cysts could be handled so smoothly and thoughtfully, all thanks to this team who worked with me until the end! I wish this place could be a full blown hospital, seriously go here! I wish I could give more than 5 stars!!",,,,,,,,,,
L B.,"Los Angeles, CA",0,8,5/3/2017,"I had to pop in to this clinic for an eye infection and Dr Jeanette and all of the staff were incredible. I was seen immediately and from the MA's to the receptionist to the doctor, all were friendly, warm and professional and the doctor was excellent, giving me a quick diagnosis and course of antibiotics. I felt very well looked after. I highly recommend this clinic.",1,4,,,,,,,,
Mabel L.,"Los Angeles, CA",1,11,6/15/2017,I think I have had better service here than most ER hospitals. Fast attentive and the staff is always welcoming and nice. Apart from this being close to home I would keep coming here for any emergencies in th future. I have had some horrible experiences before and decided to come here based on service and the reviews. Its a clean environment and most definitely better than a hospital for not having severe Injuries.,2,3,,,,,,,,
Jairo G.,"Inglewood, CA",64,8,12/16/2017,"My 7 year old daughter was wheezing at night and had a cough that would not let up. Unfortunately her PCP was not available and we could not go one more day with this cough. The reviews I read on Yelp are what assisted in choosing this location for my daughter's urgent care needs. Dr. Chung was attentive from the get go. As soon as we were at the front desk he was there asking about symptoms. We were in a room within minutes and Dr Chung was with us in no time. Informative, caring and professional. A great place for urgent care needs and an amazing staff. I hope I will not have any urgent care needs soon but if ever they may arise, Downtown Urgent Care is the destination I trust.",17,1,,,,,,,,
Dyeana B.,"South Pasadena, CA",226,7,8/13/2017,"I love this place No wait , attentive staff , late hours . Dr. Chung listens to your needs gets down to business treating your medical needs.",1,2,,,,,,,,
Heather T.,"Los Angeles, CA",0,14,1/6/2018,"Very grateful for the amazing care my husband and I received at Downtown Urgent Care. The nursing staff and doctors were tremendous. Caring, competent and they had us in and out with all the resources we needed to get well after terrible winter colds. I'm so thankful there is a facility as good as this one in the downtown area. It gives me peace of mind knowing there are people who care and can help when you really need them. Thank you Downtown Urgent Care!",,1,,,,,,,,
Amelia T.,"Los Angeles, CA",223,15,9/28/2018,I've been to a few different urgent care clinics but this center was - by far - the best one.  I was in and out in 30 minutes.  The nurse team and doctor were super attentive and helped me get diagnosed efficiently.  Highly recommend to anyone seeking immediate medical attention.,14,,,,,,,,,
Danielle M.,"Los Angeles, CA",2,67,2/17/2017,"I just had an amazing experience at Urgent Care. There was absolutely no wait time - as soon as I entered I saw a nurse, and immediately after a doctor. They were very transparent with pricing and quoted the cost of all recommended procedures up front. They even had a few of the prescriptions I needed on hand, so I didn't need to go to the pharmacy. I will definitely return if I have future medical emergencies.",15,5,1,,,,,,,
Jose F.,"Los Angeles, CA",23,1,2/15/2017,"I sent my wife to this clinic because she was feeling really sick. We had two options: going south to the same ""cheap"" clinics and wait the whole day because we don't have an appointment or try something new. I read about this clinic in Yelp, and it said they have affordable rates for the uninsured. She was delight with the service in this clinic she told me that starting from the door to the doctor she felt welcome. The price around 300.00 but with everything include even the medicine. This morning they call, to give a follow up that is something nice. Is worthy because other clinics they rip you off little by little and without notice you spent a fortune. Five stars",,5,1,,,,,,,
Dean H.,"Los Angeles, CA",1,14,12/19/2017,"Beautiful Office - Very efficient, kind and thorough.Best Urgent Care visit hands down...",1,1,,,,,,,,
Tanya A.,"Los Angeles, CA",58,139,6/12/2017,"Fast and easy. Kind of expensive even with insurance (apparently I have not yet met my deductible), but at least I was seen expeditiously.",401,2,,,,,,,,
Isabel S.,"San Francisco, CA",233,3,8/23/2018,"I just went here today and probably the best experience you can have at any UC facility. The staff was very helpful, explained everything with insurance very clearly. It was soooo fast they got me in immediatly and the doctor saw me within 20 minutes. The office is clean and new, all the nurses were so sweet and affable. I had a great experience and that's saying a lot for someone who hates going to the doctor!! would definitely recommend and will!",,,,,,,,,,
Kyle S.,"Los Angeles, CA",18,77,2/5/2017,"I've never been so amazed by an Urgent Care center.  I walked in on a Saturday morning around 10am with no wait. The staff were friendly and the doctor (Dr. Peter Chung) was incredibly helpful and nice.  He took his time and did not rush the appointment in any way.  Free garage parking was very convenient.The next morning, the office called me to follow up and make sure I was getting better. Wow!!",7,5,,,,,,,,
Erik H.,"Los Angeles, CA",144,58,4/4/2018,"Super awesome place!!You get seen quickly, the doctors and nurses and friendly and knowledgeable, and they have an in house pharmacy for basic meds. They take most insurance and everyone is very kind. Highly recommend!!!",20,,,,,,,,,
Sophia C.,"Alexandria, VA",36,61,2/25/2016,"I strained a calf muscle while in LA on business and could barely walk after 24 hours, so I stopped in to make sure I hadn't torn anything. This was also my first experience at an urgent care center and it was amazing!The waiting room was empty when I arrived around 9am, and everyone on staff was very friendly. There was minimal paperwork (2 pages) and they let me work on it in an exam room while the medical assistant asked me questions and took my vitals, so the process was overall quite efficient. A minute after she left the room, the receptionist came in to let me know how much my copay would be. He also returned my ID and insurance cards and collected the paperwork.Another minute after he left, and Dr. Grigorian entered. She was very friendly and pleasant, and diagnosed my strain very efficiently while also giving me a coherent, succinct explanation of exactly what I did to myself and how it happened. She explained my treatment options, offered me an anti-inflammatory shot and/or pills, and recommended follow-up treatment options, including home remedies as well as additional shots.She also mentioned that they have an on-site pharmacy so I wouldn't have to go anywhere else to get said pills (but of course I could if I wanted). Even though they make more money by selling me additional services and medications, it was very low pressure and they were happy to cost everything out before I decided.I ended up opting for both the shot and the pills, and the medical assistant administered the shot very professionally. My pills were waiting for me when I got back to the front desk a minute later, and the bill was very reasonable. I was in and out in under 30 minutes without ever feeling rushed.Miscellany: They seem to accept a fairly comprehensive list of insurance (I have United which they took no problem), and the facilities were easy to find, brightly lit, and very clean. I ubered, but they also had free parking and made a point of asking if I'd had any trouble getting there and/or parking.Highly recommended! You always hope not to have to see the doctor, but if you do, this one is great.",13,,,,,,,,,
Laura S.,"Beverly Hills, CA",16,22,10/12/2017,I would definitely recommend this urgent care! Dr. Chung and the entire staff is amazing! They took me right away and figured out what was wrong immediately. You can tell they really do care about their patients and go the extra mile. They can called me the following morning to check on me and make sure I was doing ok. Thank you to the entire staff for making this visit to the urgent care as pleasant as possible.,4,1,,,,,,,,
Elizabeth L.,"Los Angeles, CA",266,21,3/5/2018,Came in wasn't helped but everyone at the front desk was very helpful and told me to go to the ER. Thank you guys. They even offered to call the ambulance. They were not able to help me due to what my concern is.,11,,,,,,,,,
Ryan D.,"Sherman Oaks, Los Angeles, CA",721,6,12/22/2017,"I had a miserable week with throat problems, so I decided to see a doctor to get it taken care of. Found this urgent care and must say that I am more than happy with my experience.Wait time was super quick, staff was super helpful, and Dr. Chung put me on a plan towards recovery. Now I look more optimistically towards wellness. Enjoyed everything here, and will definitely call back when harsh sickness approaches.Thanks everyone!",,1,,,,,,,,
Angelee L.,"San Diego, CA",1,17,3/7/2018,"This urgent care WAS THE BEST. Hands down. This morning I had quite an emergency and had to leave work. I wanted to find a place close by, and this was it. I got in at about 8:30AM, and was seen right away! Literally no wait, instead the guy was waiting for me. First glance at the place was that it was clean and very put together. I got back into the waiting room and everyone was so nice! I definitely felt welcomed and taken care of from the moment I walked in. The doctor was very informative and was not giving me the sense of urgency or rushing me explain my symptoms. Instead, he was attentive and VERY comforting! I was in and out with a prescription in no time. I definitely recommend this place, I have no insurance so it's $100 to be seen, and the price increases depending on services. Overall, it was worth the $100 because I was informed & taken care of.",29,,,,,,,,,
Cat H.,"Bell Gardens, CA",0,2,2/27/2019,"This place is excellent, the front desk receptionists are very nice and checked my insurance before proceeding. I'm very nervous when it comes to check ups, and the nurses and Dr. Chung were so nice and helped me with what I went in for, I am so happy I went here. If I could make this my primary I absolutely will. I got my prescription filled and am now feeling so much better and more informed about my health. I will definitively recommend this Urgent Care, thank you.",,1,,,,,,,,
Courtney B.,"Los Angeles, CA",102,3,7/16/2018,Had such a great experience at Downtown Urgent Care! Walked in without an appointment and was called by a nurse before I had even finished filling out the paperwork. All the staff were incredibly kind and reassuring and they explained everything to me. I highly recommend this place!,,,,,,,,,,
Sha L.,"Central LA, Los Angeles, CA",0,2,3/11/2017,"Alice,Celia and the other beautiful M.A.(sorry I forget her name) Were very amazing , had exceptional bedside manner and overall provided amazing patient care and customer service! Dr. Chung is literally a life saver! He was extremely thorough and very open to really listening to the patient's concerns . And relieved me of horrible pain. This visit tops any ER visit I've had in my adult life. Don't underestimate this facility's ability to provide great healthcare. I totally recommend them!! And they are all so beautiful inside and out!!",1,2,1,,,,,,,
Yeska D.,"Los Angeles, CA",14,13,1/5/2016,"I was at work when I had a very severe allergic reaction-itching/hives/swelling that required immediate medical attention. My regular doctor was unavailable and this place was only five minutes from the office and had great reviews on yelp. I was extremely impressed by their professionalism, sanitary offices and the genuinely friendly staff (front office, medical assistant and doctor) - they had me out the door in less than 40 minutes and the bill was very reasonable. Free parking was ample and they offered water when I walked in the door. Nice find! Great Place! I will definitely return here if need be.",1,,,,,,,,,
S C.,"Chino Hills, CA",381,3,3/22/2017,"My assumption is that if I go into an urgent care center, that there would be a sense of urgency. I came in to see a doctor, I got addressed, the nurse took my vitals, from there the nurse left a bottle to urinate in, but gave me no further instruction as to whether I should be waiting for the doctor, going to the restroom (wherever that may be). So with no further instruction, she closes the door after leaving me with a bottle, I've been waiting in this room for more than 20 mins. The nurse then enter the room and asks me, ""oh you haven't urinated yet?"" For any one who has an understanding of an UTI, the pain comes in waiting, so I'm pretty outraged that even now after urinating in the bottle, I'm still sitting in this room, I have still yet to be addressed as to what's going on, how long should I be waiting? What am I waiting for? Post visit:Doctor was informative, got my prescriptive, just glad I got some type of remedy before leaving.",1,2,,,,,,,,
Marielena V.,"Miami, FL",15,14,11/4/2016,"This morning I woke up with a horrible pain In My leg which did not let me walk. I thought it was a pinch nerve. I yelped urgent care centers in LA and after much research and calls I chose the Downtown Urgent Care at 267 San Pedro St in downtown LA. It was super!!  The facility opened last December so it is new, in a beautiful building and FREE parking. I walked in and there were several staff people at the counter. They were very pleasant and courteous. Within 2 min I did know that my insurance did not cover the expense, which is fine. The nurse took me to a room and brought me cold water.I filled out 2 papers and immediately a very nice young doctor came to see me.  He obviously asked lots of questions. He was very knowledgeable and thorough. He examined me and determined it was a muscle sprain.Anyway. The whole experience was excellent. I was very pleasantly surprised because I had read some bad stories about other urgent care centers. I highly recommend this one and would return without hesitation. Thank you Downtown Urgent Care Center!",4,4,1,,,,,,,
Elba G.,"Los Angeles, CA",91,3,4/28/2018,"One the the best experiences I have had at a Urgent Care. I was trying to save a visit to the ER and save time and money. I only had to pay my 10$ co-payment for the office visit, rather than a 100$ co-payment to the ER. They do onsite x-rays I called ahead of time and made sure. There customer service was on point friendly, helpful, and completely respectful. My son had a fractured finger and as soon as we got there we were put in a room and given the greatest service. The staff was amazing hands down. In and out within a hour. Not to mention the cleanliness of the whole office I was so over the top satisfied. Also got a follow up call this morning to make sure he was doing ok. I highly recommend this Urgent Care the go above and beyond customer care. Thank You Downtown Urgent Care!",,,,,,,,,,
preston w.,"Los Angeles, CA",81,35,1/1/2018,"Disappointed that after waiting 30 minutes someone came in to tell me that the doctor, had not even seen me, wanted me to purchase $60 in tests. Bad practice.",,,,,,,,,,
Dawn H.,"Chelsea, Manhattan, NY",0,1,3/30/2018,We were visiting from out of town and my son got a migraine. We went to Downtown Urgent Care and he received the best treatment ever!  The entire staff from the checking to the nurses to the doctor were incredible.  Everyone was helpful and so compassionate.  The actual facility was spotless.  I was so thankful that they were there to treat him.  Totally amazing.,,,,,,,,,,
Oscar P.,"Los Angeles, CA",18,3,11/10/2016,"I was there a few weeks ago and had a great experience. The staff was very courteous and welcoming. I waited less than a minute before my vitals were taken and I was offered a water bottle while I waited for the doctor to see me. The medical assistants made a point to explain the cost of everything very clearly and made sure I was okay with the cost before proceeding. Again, I waited less than a minute for the doctor. He was very nice and knowledgeable. He also took the time to listen to everything I had to say. I was treated then and there and was able to get medication from them. I felt so much better by the time I got home. Parking is free, facilities are clean and new, and everyone who was there was great. This is definitely the best urgent care I have ever been to.",,3,2,,,,,,,
Elise W.,"Orange, CA",8,45,11/2/2016,"I had a great experience here. I walked in when they opened (at 8am). I didn't have to wait at all, and the facility was spotless. The medical assistant was great. The doctor was very thorough and considered multiple facets of what I was experiencing. I am so relieved to have an outstanding urgent care near my work.",18,3,2,,,,,,,
Janet C.,"Chicago, IL",0,2,12/31/2018,"I was an out of town traveler and received prompt, courteous, and professional service.  The staff was competent and knowledgeable.  The clinic was very clean.  I felt comfortable and was very satisfied.",,1,,,,,,,,
Soundslikebanana A.,"Los Angeles, CA",161,13,9/22/2016,"The best urgent care visit I've ever had! Was seen immediately. There's free and easy parking in the adjoining structure. Dr. Chung and every single one of his staff we're exemplary. They called and confirmed my insurance before treatment, explained costs clearly and even did a follow up call the day after to check in with me. After a mixup with the pharmacy they had me come back and filled the prescription personally. They take responsibility and great care in what they do. I told the desk staff they needed a tip jar. This is how you do medicine. 5 stars!!",5,4,,,,,,,,
Mimibobosusu F.,"Montebello, CA",45,11,3/17/2019,"the Doctor and staffs are nice, minimum waiting time, the place is clean and spotless. My coworker recommended this place to me.I came there for checking my eyes. thanks Dr Chung",,,,,,,,,,
Isabella A.,"Manhattan, NY",1,23,7/16/2016,"I really couldn't have chosen a better Urgent Care! I was seen as soon as I walked in, did not even sit down in the waiting room. The front desk staff was so lovely and helpful and Dr. Chung was incredible and went above and beyond for me. They accepted my United Healthcare and I was prescribed medication and purchased it on the spot and while they don't accept insurance for medication it was only $30 for two medications. When I got home later that evening I realized I was having difficulty swallowing one of the larger pills prescribed. I called Dr. Chung as they were closing and explained the situation to him, he spent nearly an hour searching for a liquid form of the medication and called numerous pharmacies in my area. He then found one, called in the prescription for me and I went to get it. Upon arriving at the pharmacy all of the pharmacists were asking who my doctor was because even they were surprised at how dedicated he was and said he was so incredible and so eager to find a solution for me. He even left his cell phone number with the pharmacist in case there were any issues since it was now an hour after closing and he would be going home! I could not be more grateful. Even more so, when traveling my bag got lost and I called the urgent care back and they called in a new prescription for me to the nearest pharmacy. Everyone at this Urgent Care is incredible and they really care about you and want to ensure you have a great experience. I have never found a better doctor than Dr. Chung.",15,4,2,,,,,,,
Edward E.,"Santa Clarita, CA",0,4,9/21/2016,"Came in after a trip to Mexico left me with food poisoning.  Outstanding care--covered all bases.  Found my fluids low and gave me the option for an IV to bring them back up.  Put me on a course of meds to get me well quickly.  Ensured thorough testing to screen out serious problems (e.g. Hepatitis) at nearby lab (across the street--pharmacy there as well).  Great resource for DTLA. Quick, friendly and efficient.",,3,,,,,,,,
Shabnam P.,"Long Beach, CA",30,45,7/7/2016,Professional and friendly staff. It took only a few minutes before the doctor saw me. I will definitely go back next time I'm sick.,40,3,3,,,,,,,
Beth S.,"Sacramento, CA",26,192,12/19/2016,"I've been here a few times over the last couple years, and this is hands-down, better than most doctor's offices I've been to.  This most reent time was after getting hit with a nasty stomach virus that had me vomiting the entire night/morning.  I couldn't even keep water down and decided enough was enough. Since we'd recently switched insurance to Kaiser, and I wasn't familiar with how Kaiser works (and didn't know if they offer urgent care rather than an ER) I decided to cop out the cash and drive up the street.  It wasn't cheap, but I got what I needed--relief from the near constant ab workout, fluids for my dehydrated self and medicine to help me get some sleep.  Most importantly, they were fast--hardly any wait in the waiting room before I went to an exam room and everyone--Dr. Chang and his staff--were kind, calm and reassuring.  Came home with a couple of cheap scripts to get me through the next couple days and a day later was finally ready to eat solids again--and keep it all down.",18,1,,,,,,,,
Benjamin S.,"Los Angeles, CA",0,2,8/16/2016,"Best Urgent Care I've been to. I was seen immediately, and Dr. Chung was more helpful, friendly, and concerned than my own doctor! They don't take my insurance, but I wouldn't be hesitant to come back here instead of my general practitioner for any follow ups on this particular issue. You'll be in good hands here, and it's a high end facility. It's the antithesis of the overly-crowded dumping ground of nastiness that is the Hollywood Urgent Care clinic.",,3,,,,,,,,
Darrell T.,"Seaside, CA",46,36,7/10/2016,"I was visiting LA from Monterey and had an issue that needed immediate attention. Found out Urgent Care was a few blocks from where I was staying(The Miyako Hotel) and walked in.They immediately took a few tests,even before I started filling out the questionnaire,and within 10 mins the Dr walked in to see me! I was even able to get the medication there(although not thru my insurance,but it was only $20 and I was in a hurry),thus saving me a trip to the drug store! To my surprise they even called the next day to check on me! I can't express how happy I was with the whole experience. I'm used to waiting much longer at an Urgent Care or Doctors on Duty,even having to leave a number for a call back,so I have nothing but good things to say about the staff and how this business is run. Wish they would open one like this in my hometown!",7,3,1,,,,,,,
Michelle G.,"Los Angeles, CA",32,4,6/26/2016,"Super quick, super friendly-- my new favorite urgent care! Smells lovely and is VERY clean inside, too!!:)",,3,3,,,,,,,
Pj G.,"CO, CO",141,160,9/11/2016,Wasnt feeling great so ubered over to this urgent care.  When I walked in I was greeted with smiles and friendly staff.  No waiting took my id and insurance and went right in.  By the way they accepted my co-pay no hassle. The doctor Chung was amazing!   usually at urgent care you are lucky to get a doctor that is barely awake.  This guy is now my go to for anything medical.  He spent time with me not a rush job.  Everything is very clean and new here. He phoned in to my local pharmacy what I needed and off I went.  I would not go anywhere else nice combo of totally professional and kind.,5,2,,,,,,,,
Hanna H.,"Berkeley, CA",114,55,7/11/2016,"Excellent care! They're open later than most places Downtown. I walked in needing stitches 30 minutes before closing and they still saw me. I am grateful because it would have taken a lot longer and cost way more if they had sent me to an ER. Dr. Chung and the entire office staff were very professional, friendly, competent and courteous. They took time to make sure I understood the procedure, cost and necessary follow-up. They are able to dispense some medications directly, which is great because Downtown pharmacies also close early. The office is clean, quiet and they do have wifi. Parking is free in the lot (just press the button for security and tell them you're there for the Urgent Care). Highly highly recommend!",14,3,,,,,,,,
Ruby Y.,"Los Angeles, CA",0,2,1/3/2016,"I have to say this urgent care was a life saver to my new year. This place is 7 mins away from home. Went on the 31st with a stomach flu which everyone is going around sadly. Loved the fact that they have parking. The staff welcomed me with a great smiles. This urgent care was very clean and smelled nice. I've been to some that are gross looking and smell funny. Dr Rastegar saw me in less than 30 minutes helped me with my issue He prescribed medicine and to my luck he had the medicine there, happy because that was one less thing I would have to do is go drive and wait at the pharmacy. Overall great experience and defiantly would go back again!!",,,,,,,,,,
W E.,"Memphis, TN",0,1,2/13/2019,"I was in town for a conference, and got the flu. I looked this place up, and caught an Uber. Being far away from home, I didn't know what to expect, but I was incredibly pleased! The staff was welcoming and kind, and Dr. Chung was thoughtful and attentive. I even got my prescription filled at the clinic. Honestly, I don't get this kind of care at home! I highly recommend this place!",,,,,,,,,,
John J.,"Venice, CA",198,10,8/19/2016,The staff is super friendly and they saw me right away. Insurance is accepted and I will probably go here in lieu of waiting for my GP to get an appointment in the future.,3,2,,,,,,,,
Syn V.,"Waukegan, IL",14,9,5/25/2018,"I wanted to write in response to a Diego comment posted from the other day.  The comment you made has NOTHING to do with the experience you had first off.  The way of someones appearance has zero to do with their work ethic.  before you start on someones looks, look yourself in the mirror and stop judging based off of looks. you are why the world is going to crap.  the girls here are professional and know what they are doing.  i had a girl i think her name was Beonka or something like that take care of me and all i can say is i was very happy. she was kind and caring and handled all my questions and took care of me with ease.  there is a girl there that helped her that i think you are speaking ill of and she was professional as well.  remember the people who take care of you. one day they may save your life. the comment you made is discriminating and does not show the true talent these women have and work with.  i hope people see this care center is full of caring hard working people who do care about the community and about their jobs.",6,3,1,,,,,,,
Michael S.,"San Jose, CA",0,8,12/31/2018,"Wonderful, thorough service even on New Year's. I'm a retired physician, and they did everything I could have asked for.  Treatment and evaluation was quick and caring.  Very friendly staff. Would definitely go here again if needed.",,,,,,,,,,
a. n.,"Los Angeles, CA",3,75,7/3/2018,"Super fast and clean, but a visit is $150 with insurance (or at least an Anthem PPO like I have), not including any tests or anything! That seems super expensive to me. If you don't care about money, this place is great because I was in a patient room immediately, but other urgent care centers are like half the price.",10,2,,,,,,,,
